,source,sink
153,4208653,2624510
154,298564,3603027
155,4238001,1050918
156,3438576,131248
157,2101710,4123751
158,846208,2888909
159,285124,121882
160,2885447,314106
161,1896069,3957186
162,4209323,1172591
163,2261139,4829922
164,1571087,4782074
165,3873768,2705691
166,3881634,4292825
167,2091039,1083447
168,307250,1918983
169,2851109,4012885
170,4727207,4439726
171,1580508,1268716
172,2148937,4579531
173,1968010,3057056
174,3137585,709510
175,1478080,4393486
176,3509903,2839901
177,4238001,4835948
178,4423184,710170
179,3271484,4042908
180,3500846,1921889
181,1880135,4407527
182,3644757,1451753
183,3361377,3470888
184,4727207,2058247
185,3144238,4214659
186,759119,3680364
187,4011264,923999
188,3914135,1467761
189,2056790,2747216
190,3509903,289641
191,1497278,1884078
192,1654099,240617
193,4423184,576543
194,3914135,4810202
195,4619326,3375781
196,3361377,3309884
197,1927211,4237454
198,3280389,4056506
199,1896069,894751
200,2075015,3421400
201,1928928,816940
202,3722259,2592649
203,3270646,3712501
204,2887240,1550749
205,621115,2413062
206,2895033,510439
207,3764177,2408759
208,3128197,3855798
209,3509903,3205777
210,3509903,2945917
211,2940706,530712
212,4727207,1901146
213,1138515,4187747
214,1179906,1130430
215,1124035,162002
216,3749479,1348676
217,4011264,2785695
218,1500090,3769111
219,4440160,1623500
220,1541866,2357943
221,2259151,877654
222,3271484,379580
223,3881634,4523159
224,3361377,2483739
225,665164,1223841
226,4183784,3952515
227,3385289,610673
228,3567246,2891545
229,1633053,639509
230,1549334,1904418
231,3198742,1001747
232,3640869,2884466
233,2467301,1125206
234,2528239,1562653
235,2827436,2622184
236,2260014,1693627
237,2681811,1044252
238,3396719,750653
239,3257465,3149562
240,2267633,2029256
241,1659274,2108431
242,2961801,1625679
243,3676295,4817620
244,4455047,2205170
245,4192206,3083229
246,354904,3258886
247,4547539,716457
248,1927211,2969797
249,273363,2344646
250,268333,2204086
251,4516604,3780440
252,3509903,1782832
253,4549430,4796633
254,3517811,3413987
255,273363,1301815
256,3765475,2158931
257,3416126,3979878
258,2147720,1007660
259,2023979,3813058
260,1635215,3865030
261,3222140,1013754
262,2260014,1153513
263,3280389,698988
264,1831198,1724068
265,4314280,3184685
266,2514271,2163896
267,2722942,4682620
268,339013,56309
269,418685,1414786
270,4853234,4602827
271,768957,4826965
272,3567371,525518
273,3395938,2085337
274,596844,1301918
275,1621606,4162088
276,4313572,2091942
277,3257465,1916887
278,2260014,3094886
279,2851109,3736955
280,2945411,2316988
281,4609257,3895670
282,1022123,1821104
283,4653941,1758760
284,1127093,2453911
285,380998,1796516
286,3561222,3599234
287,4467395,3818338
288,2209136,4024885
289,1822719,2759637
290,4365751,2318737
291,4533953,2768042
292,3509903,2444739
293,1103332,3570035
294,3361377,3709745
295,3361377,513654
296,3319826,4344115
297,3676295,1905396
298,4191410,794695
299,2107861,639373
300,3438576,669460
301,1539837,2837169
302,4208653,4669761
303,2500093,200677
304,172986,646699
305,4416945,4574230
306,2648270,4638857
307,339563,1010544
308,2110232,1437665
309,1580988,1462675
310,2377682,4497971
311,2281149,2443764
312,2356664,891979
313,3764177,2508204
314,1831198,4186985
315,3361377,3969242
316,3242275,2141805
317,2827436,4396910
318,2407452,1679276
319,2981537,4464319
320,3509903,2113781
321,4360960,612701
322,932720,3122093
323,2950311,3815745
324,915390,1393100
325,256934,3202701
326,1234540,792856
327,3913751,4464878
328,1913445,3880092
329,1927974,1884437
330,2598915,1458793
331,883775,370973
332,3638272,4037161
333,2470160,1367217
334,1580988,3268751
335,2961801,377861
336,2553405,4267782
337,2374539,3410133
338,3449530,416221
339,1386860,3246994
340,2340125,3033753
341,13680,4387074
342,408965,4527847
343,3954325,1827154
344,3137585,1744728
345,3216427,4636747
346,593740,4367307
347,4289995,3413134
348,837553,1614044
349,2782732,4271670
350,600918,3312137
351,474172,2635339
352,4657972,4210751
353,1609659,4406724
354,3092943,4523578
355,1360946,4185195
356,2662809,408966
357,3361377,4680544
358,3082104,1619279
359,3676150,600954
360,873241,3421387
361,4411870,965982
362,3419989,2306134
363,3102873,3361767
364,954784,2827372
365,4396708,3035656
366,1192480,4174264
367,1276253,611417
368,78836,3098321
369,4178055,3681348
370,3640261,3370407
371,4751453,1550182
372,1966548,2575551
373,3881566,4003886
374,439557,3200910
375,2837327,45572
376,1927211,3612422
377,4708835,3244957
378,4479581,1757232
379,1927211,4723997
380,4516604,3208230
381,1449540,348924
382,3881566,1049523
383,2375878,1449819
384,483251,4204681
385,2031305,746488
386,938861,2372633
387,4209323,4805503
388,471706,2156189
389,3509903,4031294
390,382977,4536929
391,1927211,317528
392,755739,2473129
393,525570,1049270
394,3629404,4512422
395,3509903,3966136
396,273363,3330731
397,3971219,2265972
398,3765475,2795904
399,3361377,1420686
400,3137585,4037030
401,2961801,3720039
402,1202593,2300688
403,3509903,715292
404,4624595,2745518
405,908746,2091039
406,2887240,2550102
407,805360,3561866
408,1903752,1457121
409,3319594,1878450
410,3569179,4679405
411,650520,2469906
412,439557,1030822
413,1927211,2924488
414,2562720,1626137
415,3895758,4435004
416,3973293,3360582
417,2827436,1576562
418,948768,1146869
419,2075015,2939237
420,1192480,778752
421,3289311,632527
422,1436216,2820954
423,3065808,3041762
424,711824,2290551
425,3509903,1640424
426,2950311,3760704
427,1471685,72869
428,2893334,4032229
429,1580988,3224407
430,3992121,855821
431,3361377,4312740
432,2342664,2298556
433,940526,1871333
434,1603899,1037194
435,4360960,1372936
436,2144660,985223
437,2568660,2538609
438,3206499,3104473
439,1580988,4418758
440,4518123,483279
441,3118804,2085608
442,2853969,3638398
443,2850994,1146064
444,2334583,3886027
445,2853969,3211022
446,3676295,4036636
447,3280389,1391778
448,848275,4746662
449,1234540,2684897
450,2827436,373299
451,598366,3674296
452,3024682,4784376
453,3742930,832935
454,3759853,300762
455,3065808,1132379
456,2760655,4547539
457,337280,670587
458,4825760,3068216
459,4290840,1771712
460,4515355,23678
461,3384159,370307
462,2709652,3497727
463,2281149,576650
464,957197,4400198
465,4604311,4596218
466,2893334,3967987
467,3140664,3118675
468,3040070,1250021
469,3765475,2620987
470,2394976,4795518
471,4451491,1689858
472,3361377,2116609
473,2786853,3998986
474,3361377,733167
475,4797841,3611774
476,2950311,1044887
477,2075015,2661819
478,3213713,201249
479,787416,1643479
480,1103332,3788062
481,1471685,1896905
482,4747661,606356
483,1839283,3680847
484,3065808,1365345
485,1580988,2917903
486,940526,3585928
487,2887240,2180922
488,3509903,344970
489,3478545,1978731
490,2751572,2750631
491,4727207,2769116
492,3873768,2135693
493,21944,110108
494,2512911,4742595
495,1702465,4841717
496,2827436,4302152
497,3438576,604323
498,3280389,1246794
499,329881,157983
500,1846529,983843
501,2096270,3447775
502,363750,2841394
503,2624450,1330512
504,1375391,3048500
505,2751572,3288888
506,4054269,3074195
507,1875,768829
508,2851109,1351964
509,4004339,4242741
510,2827436,460320
511,932720,2053765
512,1609659,1097334
513,1763368,1634528
514,544230,4866055
515,3361377,1200455
516,4254737,4754247
517,4140279,2711088
518,3294702,1293200
519,109553,32410
520,2092359,4222498
521,4558816,2725750
522,1887709,1291208
523,805360,4248321
524,4488963,3939271
525,2405789,969580
526,593740,3032669
527,3638272,3395164
528,3294702,4394187
529,6618,73407
530,2887240,2665013
531,2749438,3316746
532,3910135,2407285
533,3214893,3959523
534,1601101,3135639
535,2791393,271789
536,2638529,2793184
537,4011264,440175
538,2751572,1436572
539,515290,3004404
540,4069688,3101081
541,3058068,1906974
542,1244713,332836
543,4202576,880164
544,4238001,1780757
545,3361377,3495734
546,1639434,3846789
547,3361377,3665890
548,3502325,1165215
549,288947,2964707
550,3361377,2319221
551,1328699,2652639
552,1580988,1482011
553,4781571,1037342
554,1859872,3730683
555,2261139,2343983
556,2529661,1171657
557,3023130,4036171
558,907654,1329780
559,2881425,4307465
560,632811,668723
561,2851109,731507
562,427805,1552300
563,1717922,2394976
564,4838376,4314303
565,3848803,1977328
566,4744009,3784005
567,4249273,666288
568,3676295,1922779
569,3065808,2838502
570,657592,4310013
571,3361377,1145000
572,4295952,2416374
573,2281149,993759
574,3058068,1489902
575,3361377,864511
576,805360,3606906
577,4077562,808644
578,4375025,1736965
579,3509903,2015232
580,4653941,367788
581,3280389,627190
582,3361377,3653085
583,2898368,4013054
584,2257251,657920
585,1601507,642748
586,4011264,623183
587,2260014,2193820
588,4238001,4686859
589,2877907,4191881
590,2961801,2703985
591,1609659,4542854
592,1831774,1289595
593,3346033,234617
594,4304056,2445248
595,932720,3987611
596,4598655,2822953
597,1209012,3409322
598,1494665,2812155
599,3630426,2281550
600,870181,4288472
601,873241,1308261
602,439557,2059169
603,3761102,4103562
604,755739,1018678
605,687713,3422018
606,1875,1326796
607,2042003,2454978
608,3513476,4825628
609,2516076,1828521
610,1973082,2427119
611,2853969,527607
612,3638272,4061733
613,2877907,4478379
614,3438576,140123
615,1422134,357535
616,307250,2671645
617,4780428,2611154
618,4711523,3698556
619,3651179,3778155
620,3235479,2206284
621,4069373,2134280
622,2529661,1679022
623,3235479,3549674
624,1580988,3315182
625,2772113,4509790
626,3907996,2585759
627,687713,870117
628,1927211,2670449
629,2961552,2846246
630,1847461,2547323
631,745032,1583854
632,3683235,2753837
633,846208,1011999
634,1436216,4648310
635,4798192,207951
636,907654,855821
637,4192206,2471299
638,292648,3860188
639,1063358,1336615
640,4422980,2793437
641,892512,2519890
642,3065808,3692485
643,3771197,2240061
644,2028435,3245520
645,984459,2969895
646,3734245,206366
647,3784443,45986
648,1497278,138135
649,471706,1903581
650,4735272,4526466
651,3730254,1294047
652,792037,2814678
653,2881425,2939225
654,2516076,4812821
655,4191410,4469304
656,2516076,4762950
657,4249983,3567049
658,1151019,4350430
659,3509903,1716160
660,2441425,1426227
661,1632970,2049504
662,679661,2176683
663,1927211,703606
664,1417425,879943
665,2950311,1801970
666,3509903,667310
667,3759853,1054991
668,1179624,1860728
669,1580988,3010319
670,3257465,1397554
671,4653941,1407516
672,2827436,394803
673,1179906,1210740
674,582276,2128292
675,1353265,3758363
676,1103332,296539
677,4065415,1825217
678,3280389,4749916
679,4272102,1640359
680,3316576,2175399
681,515290,1660070
682,3509903,2994277
683,3509903,4516437
684,1580988,7128
685,690098,2179308
686,2931617,3167121
687,3638272,1664697
688,4628096,4344151
689,4408813,2246556
690,3206499,3243110
691,3509903,4195391
692,2195890,412563
693,1723506,61641
694,3934208,887522
695,3879570,2691294
696,2883055,793068
697,2827436,4003195
698,3525425,4407469
699,4209323,897888
700,3361377,866791
701,21944,4131004
702,1927211,937524
703,2727581,2189557
704,3509214,999629
705,274427,2722025
706,4272102,4444058
707,584906,3661404
708,2961801,2242407
709,2348093,2020050
710,2767849,1654074
711,4619326,2608159
712,2405789,2270168
713,1580508,4802982
714,1733957,1738729
715,1870921,3688595
716,2687552,557923
717,2120140,1090256
718,2961801,4820785
719,2662654,2341958
720,3041258,3254777
721,4731849,4418256
722,4208653,4412218
723,1839283,236738
724,354904,4244233
725,2562439,951081
726,1436216,4098275
727,3040070,3794958
728,1301815,1601226
729,1652056,307631
730,2950311,3498761
731,3280389,3010768
732,3021112,3136503
733,3509214,193692
734,401947,415912
735,3157597,1296488
736,530200,3692058
737,273363,372179
738,957197,4588806
739,1822719,602661
740,3638272,2200927
741,4337603,2112957
742,3645402,1099636
743,1580988,3468172
744,3361377,2184468
745,4113414,20551
746,2851109,2798136
747,354904,3000924
748,3280389,1700188
749,4739361,3402731
750,3112136,2780408
751,1103332,1129091
752,3765475,4491505
753,932720,86827
754,1250021,652713
755,3118804,563644
756,4519298,3457496
757,3721550,3966052
758,1606969,1639748
759,1541866,2003792
760,2330927,983508
761,2337715,3085568
762,3364157,4395114
763,2063746,3421469
764,3419989,739294
765,4011264,931136
766,1223667,4802717
767,493062,216542
768,2590487,3241251
769,4677576,3929897
770,1913445,3007112
771,4505464,805360
772,1059680,4863411
773,2041371,2834013
774,4191727,4713830
775,3509903,2462438
776,3419989,3093843
777,917130,2226306
778,1458272,3283545
779,957197,2037672
780,3119726,2127389
781,3430614,4504323
782,3765475,4417724
783,3509903,236134
784,1494665,4002416
785,2950311,2481442
786,4492248,2824797
787,2237277,2880094
788,4317718,4334602
789,4087774,301754
790,1446824,3277826
791,4736793,3344480
792,1506065,3372560
793,4782707,3954398
794,89426,72816
795,3765475,4736206
796,1973082,2889120
797,4183784,2834885
798,3676295,1640839
799,2261139,4025566
800,1092045,3961654
801,3482725,152998
802,2708157,1653148
803,4302921,3132471
804,3361377,3298611
805,3137585,2136856
806,3065808,2578204
807,1134093,2339210
808,1331940,3021462
809,2772113,4570959
810,1306260,4249558
811,2191555,4023031
812,439557,2098188
813,1201711,678121
814,4515355,1568537
815,2107861,1555601
816,1787075,2864806
817,3112136,3144962
818,4811747,1309371
819,3137585,4342414
820,595757,1246815
821,3176788,3216859
822,573281,3806535
823,4191410,2251858
824,3873768,4800038
825,3873128,3393457
826,621115,4505085
827,978341,4741206
828,3065808,4404912
829,1276253,2625725
830,2075015,525071
831,889433,2524711
832,669845,2076027
833,4010500,3460960
834,2557982,4642046
835,2884705,1369828
836,3090823,823609
837,246244,2568273
838,2096270,4322345
839,3632293,1852515
840,4656285,3874840
841,1293807,3370286
842,4717522,3023674
843,1356925,2823328
844,3765475,3254246
845,3361377,707290
846,1957566,2182008
847,1723506,150027
848,2355092,1113375
849,1436618,777147
850,3361377,2195466
851,1234540,3375032
852,3509903,1300429
853,3987684,4241370
854,2050398,4207326
855,1071044,1722177
856,1234540,1941820
857,4220190,4748102
858,1436216,3379356
859,4106313,3861252
860,354904,3262968
861,1015986,3438214
862,3298299,3438576
863,2774493,3520158
864,1533314,645140
865,4656285,1691569
866,3858334,2000197
867,253352,3662481
868,2343253,1488249
869,3361377,2280639
870,2169693,2386676
871,1139873,667520
872,4738916,750268
873,3561502,4236465
874,2260014,3763310
875,978341,2112077
876,3980505,4810810
877,3638272,4467373
878,1580988,2848248
879,4463545,3730405
880,1250021,4428405
881,3262907,1598687
882,22919,1455205
883,3777846,3117652
884,1086912,3202889
885,4745146,3932514
886,3509903,3669366
887,3284180,4651400
888,1063358,4054476
889,2981537,2300130
890,3137585,1586399
891,687713,1225940
892,3951293,1839244
893,2877907,2482663
894,1276253,2108992
895,1652056,3855878
896,55855,136143
897,2981537,221879
898,3910135,3685465
899,2822651,3127705
900,3764177,4484577
901,3112136,3663678
902,3638272,1458872
903,4191727,3096677
904,3216427,1362566
905,1163500,3592119
906,1265745,3308681
907,1432079,2905891
908,2594373,4611447
909,3889543,2813995
910,855821,3657412
911,3361377,1265420
912,2021745,4362507
913,4334842,2751004
914,1663945,1704107
915,2604190,3296109
916,3076127,820476
917,1201711,975078
918,65840,2792607
919,203830,3436769
920,2439199,2276535
921,4100923,3531879
922,1633053,486205
923,1265070,2925626
924,2405789,4296758
925,668325,3600298
926,1103332,1953920
927,2203506,3280353
928,2120733,3060990
929,2777273,735187
930,3361377,1545887
931,471706,713229
932,3638272,2427101
933,252905,827051
934,4317718,3838131
935,354904,4066621
936,2407452,3951507
937,2516076,3634564
938,3764177,2534861
939,2333209,1929085
940,354904,730543
941,675623,930471
942,1195811,4709814
943,166004,1652992
944,1875,1860177
945,1966548,3479606
946,3235479,179724
947,988087,2262783
948,1086912,1785749
949,1580988,4141340
950,595757,2175026
951,2784572,194133
952,1787075,112764
953,2470160,3419744
954,4485028,2948759
955,1389617,207711
956,2379785,2941175
957,4169099,4738579
958,2148937,3716958
959,1834369,2098460
960,4365938,3013109
961,1103332,322578
962,3992721,2909418
963,3280389,918340
964,2851109,1198036
965,3115867,1215499
966,3638272,1626230
967,1201397,1443899
968,3065808,3801452
969,2339149,3909223
970,595757,2573081
971,1050096,1809438
972,2923257,3324191
973,2897926,4705930
974,3509903,584538
975,4642569,4311812
976,4159765,3812389
977,2260014,3452965
978,1913445,3723174
979,2209136,3554464
980,3764177,3010496
981,873241,4202576
982,3361377,1076780
983,1927211,109148
984,3361377,212649
985,2542968,188281
986,3671141,4745065
987,1234540,1056256
988,4238001,2661407
989,787416,1437803
990,4272102,4266219
991,4807996,20235
992,3765475,3522957
993,17330,2932386
994,519175,2582151
995,4272102,4259067
996,2827436,3977375
997,3280389,417170
998,1330432,2686462
999,3452907,3200642
1000,3860049,811790
1001,3361377,4061352
1002,354904,420879
1003,3538667,3020613
1004,481603,759224
1005,3167388,1131696
1006,4272102,4406684
1007,471706,4641681
1008,3477164,2960508
1009,1915780,1151206
1010,2981537,2052007
1011,4193534,390897
1012,3395938,754959
1013,1264672,3045863
1014,1639174,1316923
1015,4649206,2837666
1016,3937193,2033353
1017,3509903,1237087
1018,3638272,3557675
1019,3339475,4160478
1020,2107861,424232
1021,4191410,689193
1022,3867232,3428811
1023,1654099,43834
1024,471706,2417058
1025,4654860,3978670
1026,2313701,1078225
1027,4411870,3259214
1028,2506505,1709210
1029,1580988,3425817
1030,3449530,627607
1031,339563,3745659
1032,2617350,4816182
1033,3280389,3897128
1034,4473441,2503800
1035,3235479,50598
1036,2670064,2223286
1037,750901,4421147
1038,4738916,3166921
1039,2098371,956648
1040,2174130,1330185
1041,1580988,1619672
1042,3683235,1479407
1043,1053923,4588338
1044,3280389,3716592
1045,3257465,2036603
1046,3638272,2868149
1047,471706,1552516
1048,1945087,3225721
1049,3765475,3131509
1050,1913445,1574755
1051,3361377,2883917
1052,4208653,3817158
1053,339563,3160057
1054,4272102,2631599
1055,4582129,1522403
1056,3961663,2740374
1057,1276425,1256355
1058,1134522,2775231
1059,3881634,37464
1060,4569293,624624
1061,3715857,2510785
1062,4193534,2966622
1063,1325245,1770346
1064,2159244,752713
1065,198776,4301631
1066,4671746,653799
1067,932720,2626916
1068,4604311,4525013
1069,1580988,4799618
1070,408965,1498549
1071,3569179,2580864
1072,1939437,4217216
1073,2064963,2337375
1074,3361377,350699
1075,4023687,808778
1076,4088731,244714
1077,4208653,1726248
1078,354788,4064027
1079,3836080,2489358
1080,2627841,3579146
1081,1648457,1127662
1082,2441073,3383593
1083,2436781,4205406
1084,2405789,3624346
1085,3509903,1266332
1086,2827436,3339693
1087,3280389,3391593
1088,2705886,3762612
1089,1591435,2103049
1090,3973293,4444402
1091,1580988,367129
1092,41659,814049
1093,711824,3637909
1094,276216,2379412
1095,2490914,1873813
1096,505569,4695275
1097,207864,2873127
1098,961161,1994118
1099,1710474,4758193
1100,3271484,1743874
1101,1875,361053
1102,3941858,3188194
1103,805360,484066
1104,240062,3593238
1105,2887240,2740132
1106,2886881,3044622
1107,3390049,1245022
1108,2887240,39391
1109,2446968,1189187
1110,1580988,420579
1111,1880135,1913681
1112,4329730,95868
1113,1887669,3468044
1114,3137585,364969
1115,2713411,67895
1116,781211,2227898
1117,3051212,3988850
1118,3118804,2222002
1119,3333,4281349
1120,530200,446625
1121,837553,1843498
1122,1814268,822882
1123,1580988,3845597
1124,1580988,3920356
1125,3216427,3883529
1126,1633022,2058611
1127,3082645,2067704
1128,1580988,2200254
1129,3921019,3117551
1130,196521,2563582
1131,3361377,2306564
1132,1276253,717423
1133,354904,1816844
1134,3865635,1388479
1135,3638272,236827
1136,4360960,4090055
1137,3280389,3211758
1138,3280389,2660766
1139,4191410,2898952
1140,748019,1272576
1141,1855551,2802386
1142,1102748,3267802
1143,4638702,2004851
1144,2827436,315821
1145,3638272,1336620
1146,593740,4404772
1147,3280389,653945
1148,2827436,2788541
1149,3638272,4812734
1150,417999,951114
1151,3989108,450290
1152,3361377,3717203
1153,3454888,2897085
1154,1063358,1774687
1155,497713,1619337
1156,907654,1971743
1157,2150273,3637552
1158,3351848,2011367
1159,1705425,2134620
1160,2394976,2147058
1161,2981537,2523528
1162,3280389,3356176
1163,2346646,1552017
1164,817090,2801571
1165,3509903,89356
1166,2885394,467256
1167,4212637,4021884
1168,2206250,3515292
1169,4798192,2883824
1170,2981537,1658984
1171,4040467,2473915
1172,1937293,343
1173,703912,1514068
1174,932720,292081
1175,1817799,2930013
1176,4438290,1999982
1177,2381218,663087
1178,4737279,2303371
1179,3361377,4395355
1180,3361377,1066317
1181,3167153,2582262
1182,111922,3634138
1183,1927211,2878119
1184,3406568,1598335
1185,4163106,2467548
1186,1093081,2238471
1187,4192206,4340271
1188,3545321,844501
1189,3094886,77726
1190,4360960,2463965
1191,4519298,4342155
1192,2092359,1752946
1193,2090342,1580508
1194,670587,1994069
1195,3509903,969389
1196,2617294,3000866
1197,135188,1819926
1198,1386493,3892871
1199,2928871,985712
1200,4191410,4566100
1201,4138257,112553
1202,1301815,3220665
1203,593740,1410430
1204,3671141,917602
1205,2763282,1458862
1206,2209136,1633167
1207,536859,3442980
1208,2202786,1009956
1209,2752145,3366192
1210,4019064,4542821
1211,1431076,654360
1212,497262,4288875
1213,378943,3042934
1214,3361377,947559
1215,1249967,4331897
1216,2323779,4459593
1217,3361377,175792
1218,2209136,4739207
1219,2883731,7965
1220,4050480,3820341
1221,3671141,1142071
1222,2107861,4821737
1223,2989110,17660
1224,3638272,899740
1225,1875,178314
1226,3280389,2370693
1227,2827436,3431752
1228,3509903,229631
1229,3395938,3657685
1230,3361377,4211792
1231,4569293,3443285
1232,451621,1579236
1233,1503116,2417891
1234,748019,4697297
1235,159285,1230116
1236,3868302,4439528
1237,4777191,871812
1238,4183784,3074566
1239,3914135,3699859
1240,3196195,4373879
1241,3280389,1844073
1242,1580988,3795947
1243,4272102,3680114
1244,4011264,2754363
1245,2078946,1052703
1246,3361377,4551035
1247,2853969,4480241
1248,2256020,3501416
1249,1652056,903864
1250,4840211,4581669
1251,2082713,1808161
1252,2897926,3963465
1253,3438576,3523128
1254,2611624,4474537
1255,4615837,4091767
1256,3758692,1610244
1257,1907579,1131611
1258,4527016,3601201
1259,1325245,2636102
1260,2786853,2776564
1261,3072769,3208290
1262,617168,4817602
1263,3758692,1623544
1264,3607310,4781612
1265,3638272,2991656
1266,2952826,4719929
1267,3638272,2264189
1268,1847461,609689
1269,3452436,3264836
1270,1310800,4116537
1271,4209323,4309503
1272,4479896,2227520
1273,2821086,3388672
1274,940526,4233975
1275,515290,3750616
1276,2627841,1216838
1277,2827436,902053
1278,4812374,3043598
1279,2348093,3397860
1280,262893,899518
1281,3582351,3524331
1282,4191727,2816614
1283,3280389,3275354
1284,1250021,2584851
1285,1311307,2689142
1286,211032,1181398
1287,3764283,948768
1288,3844858,4734435
1289,197541,2494444
1290,3206499,1058878
1291,4727207,1271672
1292,465459,4237671
1293,4678416,1235806
1294,2342664,2728950
1295,745032,4680348
1296,3280389,4360311
1297,713416,858330
1298,4202576,4229355
1299,4721617,3975969
1300,3509903,1952209
1301,3858334,273363
1302,3522049,1070432
1303,1541786,3034760
1304,4183784,152493
1305,665164,4554696
1306,3617193,2146641
1307,2851109,469191
1308,2260014,2288063
1309,3804751,3855283
1310,4798192,4727334
1311,3671141,1088867
1312,2120140,1941919
1313,1100354,982172
1314,1689502,736663
1315,3509903,3528640
1316,2781817,3395702
1317,2189017,4563568
1318,1652056,1653258
1319,3291396,4252373
1320,3280389,1989039
1321,1537492,2353162
1322,3671141,1606131
1323,2041371,4408488
1324,401947,3716668
1325,3918313,1546480
1326,1580988,4607816
1327,2654633,3207935
1328,3823546,2790336
1329,3638272,2813069
1330,3610598,2179948
1331,3449530,1678779
1332,3802719,83934
1333,957197,1078125
1334,2827436,118625
1335,3361377,2567914
1336,2501369,267263
1337,1973082,4475626
1338,4629176,314556
1339,3361377,947123
1340,3134736,1861462
1341,1242199,1699400
1342,3361377,3504434
1343,3115867,3044576
1344,3509903,576255
1345,4547539,3580669
1346,1163500,4513201
1347,646587,1898447
1348,3361377,1322972
1349,2307868,4131057
1350,3112136,2032907
1351,1703817,1794526
1352,4011264,702971
1353,1875,3916533
1354,4524689,4818690
1355,1792932,2789483
1356,3019092,4223637
1357,1103332,3906312
1358,1250021,3815476
1359,2225345,3024082
1360,2851109,411266
1361,4738394,2233096
1362,2498087,2898228
1363,1927211,1776282
1364,2516076,232510
1365,2958239,537789
1366,4777191,3267401
1367,1291960,1193948
1368,3671141,282955
1369,3438576,1564177
1370,3979261,2749001
1371,4073917,2322419
1372,1436216,3318344
1373,3638272,2049571
1374,4853234,4660035
1375,1722972,598731
1376,4755188,200518
1377,948768,226193
1378,2827436,1378222
1379,1462439,3988125
1380,3395938,4270639
1381,3645402,3759862
1382,805360,1156688
1383,4187681,1033237
1384,3638272,4734575
1385,2260014,1806407
1386,4727207,2234345
1387,2872979,3166273
1388,1151593,801537
1389,4411870,685341
1390,2343253,4839443
1391,299865,4788253
1392,2108878,3124844
1393,3361377,168557
1394,3361377,1852931
1395,2495609,329295
1396,3175944,2161778
1397,4750855,3256368
1398,2827436,2195823
1399,3638272,240047
1400,4528103,3645963
1401,3361377,2037353
1402,4121239,2020943
1403,501914,4029850
1404,3638272,3151130
1405,1652056,3598145
1406,4000463,268800
1407,554693,2060819
